site_index,species,node_type,x,y,z,mask_mean,mask_std,mask_seed_123,mask_seed_456,mask_seed_789
0,Mo,0,0.0127612630124887,1.834561948025378,3.7199999999999998,0.07658836990594864,0.0046017407439649105,0.08309277147054672,0.07315275818109512,0.07351959496736526
1,Mo,0,-1.582396611968703,4.597456448063598,3.72,0.07194355130195618,0.0034944405779242516,0.07670527696609497,0.06841763854026794,0.07070773094892502
2,Mo,0,-3.1775544869498953,7.360350948101818,3.72,0.07271957397460938,0.0026483077090233564,0.069192074239254,0.07339343428611755,0.07557321339845657
3,Mo,0,-4.772712361931087,10.123245448140038,3.7200000000000006,0.0800689086318016,0.002294618869200349,0.08044339716434479,0.08267320692539215,0.07709011435508728
4,Mo,0,-6.367870236912278,12.886139948178256,3.7200000000000006,0.07476738840341568,0.0008800224750302732,0.0738057866692543,0.07593240588903427,0.07456398010253906
5,Mo,0,-7.963028111893471,15.649034448216476,3.720000000000001,0.07440301775932312,0.0034653027541935444,0.07787024229764938,0.07566877454519272,0.06967002898454666
6,Mo,0,-9.558185986874662,18.411928948254698,3.720000000000001,0.07385750114917755,0.00767218554392457,0.08341094851493835,0.0646262988448143,0.0735352486371994
7,Mo,0,-11.153343861855856,21.174823448292916,3.7200000000000015,0.2751898467540741,0.024949146434664726,0.30724337697029114,0.24639131128787994,0.2719348073005676
8,Mo,0,3.2030770130124884,1.834561948025378,3.72,0.09682180732488632,0.012223219498991966,0.11395885795354843,0.09021585434675217,0.08629070222377777
9,Mo,0,1.607919138031297,4.597456448063598,3.72,0.09220389276742935,0.0009565651416778564,0.09268437325954437,0.09305880963802338,0.09086848795413971
10,Mo,0,0.01276126305010461,7.360350948101818,3.7200000000000006,0.06415897607803345,0.0016583760734647512,0.06229280307888985,0.06632225215435028,0.06386187672615051
11,Mo,0,-1.5823966119310873,10.123245448140038,3.7200000000000006,0.09462088346481323,0.007994330488145351,0.10213080793619156,0.08354712277650833,0.09818470478057861
12,Mo,0,-3.1775544869122783,12.886139948178256,3.720000000000001,0.06958494335412979,0.0013219795655459166,0.06772124022245407,0.07064487040042877,0.07038871943950653
13,Mo,0,-4.772712361893471,15.649034448216476,3.720000000000001,0.07859911769628525,0.003072838531807065,0.08272572606801987,0.07771558314561844,0.07535605132579803
14,Mo,0,-6.367870236874663,18.411928948254698,3.7200000000000015,0.12167313694953918,0.006183967925608158,0.12976089119911194,0.12051082402467728,0.11474770307540894
15,Mo,0,-7.963028111855855,21.174823448292916,3.7200000000000015,0.0926242545247078,0.0044145104475319386,0.09003128856420517,0.09883899986743927,0.08900249004364014
16,X,1,6.393392763012487,1.834561948025378,3.72,0.11475285142660141,0.010611295700073242,0.12863145768642426,0.10287010669708252,0.11275699734687805
17,Mo,0,4.7982348880312955,4.597456448063598,3.7200000000000006,0.0917162299156189,0.009740537963807583,0.08915524929761887,0.08127502351999283,0.104718416929245
18,Mo,0,3.2030770130501036,7.360350948101818,3.7200000000000006,0.06575144082307816,0.0023799631744623184,0.06628859043121338,0.0683603584766388,0.06260538101196289
19,Mo,0,1.6079191380689117,10.123245448140038,3.720000000000001,0.09560158103704453,0.00479598855599761,0.09108267724514008,0.09348074346780777,0.10224131494760513
20,Mo,0,0.012761263087720742,12.886139948178256,3.720000000000001,0.10303040593862534,0.009277686476707458,0.11242426186800003,0.09040064364671707,0.10626628994941711
21,Mo,0,-1.582396611893472,15.649034448216476,3.7200000000000015,0.07372811436653137,0.0021894355304539204,0.07400789856910706,0.07625874876976013,0.07091768831014633
22,Mo,0,-3.177554486874664,18.411928948254698,3.7200000000000015,0.08096779137849808,0.0056012715213000774,0.08383098989725113,0.08593252301216125,0.07313987612724304
23,Mo,0,-4.772712361855856,21.174823448292916,3.7200000000000015,0.1380438357591629,0.006151480600237846,0.1466117799282074,0.13245455920696259,0.13506516814231873
24,Mo,0,9.583708513012487,1.834561948025378,3.7200000000000006,0.08912396430969238,0.004024107940495014,0.0900312289595604,0.08380485326051712,0.09353579580783844
25,Mo,0,7.988550638031295,4.597456448063598,3.7200000000000006,0.09039144963026047,0.0035432653967291117,0.09407778084278107,0.0856088399887085,0.09148771315813065
26,Mo,0,6.3933927630501035,7.360350948101818,3.720000000000001,0.2793280780315399,0.021710185334086418,0.30624356865882874,0.2530771493911743,0.2786635756492615
27,Mo,0,4.798234888068912,10.123245448140038,3.720000000000001,0.07691416889429092,0.00351808313280344,0.07627101987600327,0.07296314090490341,0.0815083459019661
28,Mo,0,3.2030770130877206,12.886139948178256,3.7200000000000015,0.08104143291711807,0.004700018558651209,0.08084378391504288,0.07538648694753647,0.08689404278993607
29,Mo,0,1.6079191381065279,15.649034448216476,3.7200000000000015,0.16180093586444855,0.025922320783138275,0.19825731217861176,0.14691190421581268,0.1402336061000824
