split,atom_count,baseline_eligible,compressed_pair,compressed_pair_distance_angstrom,compressed_pair_image_shift,conv1,conv2,depth,dopant_chemical_potential,eform,en2,energy_identity_residual_ev,extension_factor,host_spacegroup,hostenergy,impurity,isolated_atom_indices_review_only,material,min_pair_covalent_ratio,previous_z,quality_reasons,relaxed_site_from_depth,reported_converged,review_flags,sha256,site,source_id,target
train,49,True,S21-W36,2.399444117116206,"[0, 0, 0]",-0.00452137,-6.62265e-05,4.7388731164666255e-05,-3.3953663975,2.0896895974999854,-380.97186677,0.0,1.0325086824595753,187,-379.66618997,H,[],S2W,0.8986682086577551,0,,int,True,,574011d41efdd2ce284a35ad3b67c6bcd51e7e4dafd2c27b40294ded3d09713a,int0,S2W_H_int0,2.0896895974999854
train,49,True,Ni0-Se47,2.157747213089208,"[0, 0, 0]",0.000654914,-8.33573e-05,-0.9609477827369778,-5.469610195,2.184746424999984,-332.79436553,0.0,1.0596821946793795,2,-329.50950176,Ni,[],Re4Se8,0.8843226283152492,0,,int,True,,0a3fce6977a0d790934dfead61d71bbdf332f9810858f027f335445fa9b88292,int2,Re4Se8_Ni_int2,2.184746424999984
train,28,True,C0-Ta19,2.003257994104891,"[0, 0, 0]",-0.00492385,-0.00232154,0.3672939489808618,-9.2282470075,3.3808853574999898,-196.31487572,0.0,1.1203994754101008,164,-190.46751407,C,[],Se2Ta,0.8143325179288174,0,,int,True,,f140d21e1e761ba389743b910214fbc5ac2a4c47977ade683cbed9bd4b4081f8,int2,Se2Ta_C_int2,3.3808853574999898
train,49,True,Cr0-Mo10,2.2750454665457998,"[0, 0, 0]",-0.000755533,-1.41658e-05,-0.0001654383170575992,-9.512811205,5.0787617250000014,-354.99896727,0.0,1.0677290795381218,187,-350.56491779,Cr,[],MoS2,0.7764660295378157,0,,int,True,short_bond_review_only,8d3deb98542256a45dd2657933107f0dfbde97a8da13c12b516aa4bc20e22673,int3,MoS2_Cr_int3,5.0787617250000014
train,28,True,S9-Ta27,2.2700109238130572,"[0, 0, 0]",-0.00476166,-0.000184314,0.5548894077914728,-2.7174974175,5.625861777500008,-205.18888478,0.0,1.3301899116426288,164,-208.09724914,Ag,[],S2Ta,0.8254585177502026,0,,int,True,,cef760d3682a04f281e553802d0530bbd4a1aeb32bc3cfe54929a407a191e6b7,int0,S2Ta_Ag_int0,5.625861777500008
train,49,True,Mo0-P16,2.239605739975753,"[1, 1, 0]",0.00197085,0.0004431119999999,-0.00270409885693036,-5.37555892,6.795558159999981,-319.31641443,0.0,1.4459332704191723,187,-320.73641367,P,[],MoSe2,0.8580864904121659,0,,int,True,,4a3f55505ea5e350e2298a843822d73126d7e0cb952b3fa687f9110a131cfe26,int2,MoSe2_P_int2,6.795558159999981
train,81,True,Mo35-O72,1.838254082931759,"[0, 0, 0]",-0.0337244,-0.0446890999999999,-0.004999781632207592,-8.34141351,2.947791199999932,-734.71605265,4.440892098500626e-16,1.150688547194176,164,-729.32243034,N,[],CMo2O2,0.835570037696254,0,,int,True,,f1efb017bf4ec88e15da7fb6d3da6b9403ed0535fbede0a8dae285883c4e1c87,int0,CMo2O2_N_int0,2.947791199999932
train,81,True,O46-Y80,1.8890055564289658,"[0, 0, 0]",-0.00274217,-8.19372e-05,1.8391761861785074,-6.42870606,-0.9204415899999638,-718.62845618,0.0,0.90904023904336,164,-711.27930853,Y,[],CO2V2,0.7378927954800648,0,,ads,True,short_bond_review_only,6a66a629976a01b836f4fe3c2c340ba4ca50f9e14c34229a869e440c58dfa4ad,ads0,CO2V2_Y_ads0,-0.9204415899999638
train,28,True,Lu0-W25,2.6266543782718594,"[-1, 0, 0]",-0.028972,-0.00137218,-0.003641103165178886,-4.452474715,4.2114044050000015,-175.49424249,-8.881784197001252e-16,1.2320559220244542,187,-175.25317218,Lu,[],Te2W,0.7526230310234554,0,,int,True,short_bond_review_only,f33d6f12c3ba77b214abb27ac9b049fbec0f1443bdd7f49dabd48b279d525f03,int0,Te2W_Lu_int0,4.2114044050000015
train,65,True,C31-C32,1.5231568021786503,"[0, 0, 0]",-0.0138309,5.08791e-05,0.6910949755643473,-9.2282470075,7.533836067500045,-410.81559464,-8.881784197001252e-16,1.473370202839969,164,-409.1211837,C,[],C2H2,1.0020768435385858,0,,int,True,self_impurity_requires_checked_site_label,71b94f806ced20d40141c60b7c9b2e1c52e3363b188861d3954bbaba3ae7950d,int1,C2H2_C_int1,7.533836067500045
train,28,True,S11-Ti19,2.2700043639051546,"[0, 0, 0]",-0.00352444,0.00200384,-0.7772421475637702,-8.24112909,-0.5199258499999804,-185.53416782,0.0,1.0371812940152254,164,-176.77311288,Fe,[],S2Ti,0.8566054203415676,0,,int,True,,0633131fd22757377ba2b073b373e7fe6c9d798f545523eea20f0d2df950ed85,int2,S2Ti_Fe_int2,-0.5199258499999804
train,28,True,Hf3-Se18,2.610805066981165,"[0, 0, 0]",-0.00476547,-0.000224627,1.7071427972281734,-4.507869405,1.5527334650000089,-189.16333312,-2.220446049250313e-16,1.0689347282619253,164,-186.20819718,Ge,[],HfSe2,0.8850186667732762,0,,ads,True,,efece6a30d79e52df449067053d4bc2e4d37eae4f59cc57d11cfaf5e5cd0fc56,ads2,HfSe2_Ge_ads2,1.5527334650000089
train,28,True,Nb2-Sr27,2.4596690974068594,"[1, 0, 0]",-0.00152173,1.19791e-06,0.004929203604954904,-1.6408387475,6.3680150675000124,-174.12902092,0.0,1.0848960516149595,187,-178.85619724,Sr,[],NbSe2,0.6851445953779552,0,,int,True,short_bond_review_only,2f535c3b9cee87c897bb2d43ec8fb02e916a47d0bd280970ac54274bb184eba5,int0,NbSe2_Sr_int0,6.3680150675000124
train,19,True,Si14-Zr18,2.4907656390206463,"[0, 0, 0]",-0.00351871,0.00262046,-0.003573130704664319,-8.521698665,1.269940035000003,-89.7069183,0.0,1.8615798955451213,164,-82.45515967,Zr,[],Si2,0.8708970765806454,0,,int,True,,e13d079c5ffe476e9548334a34873df30d30e6d0d1cd1ec0a7d8151bcfb62def,int1,Si2_Zr_int1,1.269940035000003
train,81,True,C2-Mo43,2.0169011917440214,"[0, 0, 0]",-0.000385619,-0.0101002999999999,1.7032595904495695,-3.50545684,1.099743939999974,-731.72814324,0.0,1.0156114387843171,164,-729.32243034,S,[],CMo2O2,0.8769135616278354,0,,ads,True,,19e19ff64db0d59738b6e5faedbff3647cb68808b2183ba132de57602ea4a6c5,ads0,CMo2O2_S_ads0,1.099743939999974
train,28,True,Nb2-V27,2.2928489540081216,"[1, 0, 0]",-0.00349406,-4.85287e-05,2.2829542568228214e-06,-8.99443121,2.936797249999996,-201.38001165,0.0,1.0580342070648003,187,-195.32237769,V,[],NbS2,0.723296200002562,0,,int,True,short_bond_review_only,ec28b108abb0447c2e163bf3f17d8029d9566cda2fd51fe86ced90cfff746dbb,int4,NbS2_V_int4,2.936797249999996
train,19,True,As0-O18,1.6794512428984611,"[0, 0, 0]",-0.00621564,-0.00361511,2.869891684839469,-4.953416425,-1.0686945449999996,-85.64391435,0.0,0.8521038546512107,164,-79.62180338,O,[],As2,0.9078114826478167,0,,ads,True,,baeb1c2a124a00ae6738fbe2fd04b4a4936cba84e99c5c60df707023e34b6280,ads0,As2_O_ads0,-1.0686945449999996
train,49,True,S15-W47,2.413519371747244,"[0, -1, 0]",-0.00130938,-8.806479999999999e-05,1.977738904856684,-6.1156370275,3.6064450574999833,-382.17538194,8.881784197001252e-16,0.9925595457158348,187,-379.66618997,Pt,[],S2W,0.9039398396057094,0,,ads,True,,81852fd5c7ed252ae2cb852001441c83aef8eea89a2f879312b429ece9f45952,ads2,S2W_Pt_ads2,3.6064450574999833
train,65,True,P34-P47,2.135319793605897,"[0, -1, 0]",-0.0429116,0.00759205,-1.3470370223993133,-2.229339995,1.799463864999975,-342.38032564,0.0,1.4771122127824432,53,-341.95044951,Tl,[],P4,0.9978129876663069,0,,ads,True,site_migration_allowed,637b1c4abe8021f1b68d70801529d5b5b6199ba6bf9becca91032990f135f8cc,int1,P4_Tl_int1,1.799463864999975
train,49,True,Se15-W47,2.5301858311080774,"[0, 0, 0]",-0.00491276,-8.75573e-05,2.174787520566103,-4.452474715,2.7886018849999976,-348.45231275,0.0,0.95833366047604,187,-346.78843992,Lu,[],Se2W,0.8972290181234316,0,,ads,True,,6d4d1099dfea79df0502f64283f83d453e2b5e219895884b410ac354c818512e,ads1,Se2W_Lu_ads1,2.7886018849999976
train,49,True,Ru16-Se27,2.3584880199149696,"[0, 0, 0]",-0.002041,-8.25108e-05,1.6476925525572381,-9.241992205,4.2163123349999685,-325.76209354,8.881784197001252e-16,0.8736845360492846,187,-320.73641367,Ru,[],MoSe2,0.886649631546981,0,,ads,True,,0bffe723a5ad141554d654599f2803038f7924c494e157c35e3c4929b7a75196,ads1,MoSe2_Ru_ads1,4.2163123349999685
train,28,True,Hf0-Rb9,2.672522522550081,"[1, 0, 0]",-0.00562459,-0.00115546,-0.00022454723614583598,-0.933634225,7.422942794999992,-198.10733578,0.0,1.5044192398021885,164,-204.59664435,Rb,[],HfS2,0.6765879803924255,0,,int,True,short_bond_review_only,4eacf5f09546c36fee5b07160063d9e6ae9979ae7469599021b12bef82ee6c5a,int0,HfS2_Rb_int0,7.422942794999992
train,28,True,Mo2-Te13,2.717576424684914,"[-1, 0, 0]",-0.0104733,-0.00329931,0.5623585730205172,-3.14365439,2.0188652200000146,-164.42827863,0.0,1.1643120458499607,187,-163.30348946,Te,[],MoTe2,0.9306768577688063,0,,int,True,self_impurity_requires_checked_site_label;site_migration_allowed,99922b1190bc684b8d39d486cb2e69e798e7954a7dccc0518f0e3ea3af307376,ads1,MoTe2_Te_ads1,2.0188652200000146
train,19,True,Ge14-Zr18,2.575625043076097,"[0, 0, 0]",0.000887668,-0.00795243,3.7805422234564667,-8.521698665,1.2811216850000005,-75.19682073,0.0,0.832936266868864,164,-67.95624375,Zr,[],Ge2,0.8730932349410497,0,,ads,True,,8e2ad8f741479e59fc3e02ee164c52ec31ad913a6fe5c87224baca43ed406595,ads1,Ge2_Zr_ads1,1.2811216850000005
train,33,True,I30-Pt32,2.3994565970095465,"[0, -1, 0]",-0.00181217,4.08668e-05,2.428619652057114,-6.1156370275,3.596986067500012,-129.00884269,0.0,0.9186508635370908,162,-126.49019173,Pt,[],Cr2I6,0.8725296716398351,0,,ads,True,,f8a5cdc2eb04112163cffd7808f774b0eb84a9b58e01d0763b117000fda98950,ads0,Cr2I6_Pt_ads0,3.596986067500012
train,65,True,Ag0-P17,2.4599480862777723,"[0, 0, 0]",-0.00381578,-0.000677103,2.2941310276728233,-2.7174974175,1.333131257499987,-343.33481567,0.0,0.9413002577624484,53,-341.95044951,Ag,[],P4,0.9761698755070525,0,,ads,True,,85acbc920a99e9f1ff43b86c0f8bc6d21918337cf528ac5f8bdc19b369e70c8c,ads1,P4_Ag_ads1,1.333131257499987
train,28,True,B0-Nb9,2.216673833368102,"[-1, 0, 0]",-0.00313373,-0.00031027,1.1046926380425104,-6.7059564875,1.1171428375000083,-200.91119134,0.0,0.8691380800082439,187,-195.32237769,B,[],NbS2,0.8938200941000413,0,,ads,True,,ae9d706c68158edd5f53bd77add915bccf230b41ae37bf948d5935ff116fb736,ads1,NbS2_B_ads1,1.1171428375000083
train,49,True,Re7-S16,2.2716104827233585,"[0, 0, 0]",0.0212032,-0.00284882,0.776777991153982,-3.5038482133333333,4.7104300133333705,-356.23688687,0.0,1.1021990699088025,2,-357.44346867,Se,[],Re4S8,0.8873478448138119,0,,int,True,,20175629db8d1c16794864fe95cf61295e39744734b828ab25aa109f670355bb,int2,Re4S8_Se_int2,4.7104300133333705
train,49,True,S27-S48,1.9378506997035072,"[0, 0, 0]",-0.00159466,-6.981109999999999e-05,1.007280852209986e-05,-3.50545684,0.5018507399999868,-353.56852389,0.0,0.9671004141669716,187,-350.56491779,S,[],MoS2,0.9227860474778605,0,,int,True,self_impurity_requires_checked_site_label;site_migration_allowed,d9865d125d725445d50deeeea1751349a5bb3b1c5f839491fb4cbbc1e3de6b02,ads0,MoS2_S_ads0,0.5018507399999868
train,28,True,Hf7-S18,2.484666203011242,"[0, 0, 0]",-0.00296274,0.00114973,2.4902247085675064,-2.229339995,0.0021058249999974,-206.82387852,-5.204170427930421e-17,1.1006413049721169,164,-204.59664435,Tl,[],HfS2,0.8873807867897293,0,,ads,True,,6f7277e8223137e0013715a9dcffa411433482f695fece9b17d7fbdf248c9116,ads1,HfS2_Tl_ads1,0.0021058249999974
train,49,True,Mo11-S39,2.4052432600429383,"[0, 0, 0]",-0.00295044,-2.78693e-05,2.5002936335151107,-10.341723195,6.043423804999988,-354.86321718,-8.881784197001252e-16,0.970117233380424,187,-350.56491779,Tc,[],MoS2,0.9286653513679299,0,,ads,True,,647fa01738a3241f25267ec715d38a6a782255df72ea23836d4f016a7ecdee0c,ads0,MoS2_Tc_ads0,6.043423804999988
